"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"richard adams roofing inc","0","90","50","$0.00","0.06","-31%","20","30","50","70","50","110","70","50","40","70","90","40"
"richard adams roofing","0","60","50","$3.02","0.25","-64%","140","110","40","90","90","40","30","30","20","20","20","20"
"roofing jupiter fl","0","37","70","$0.00","0.33","-41%","20","90","50","70","140","110","50","90","70","30","50","40"
"roofing in south florida","0","41","590","$6.17","0.15","72%","720","1,000","720","590","480","480","590","320","390","260","390","1,000"
"roofing florida","0","23","2,400","$4.32","0.25","11%","3,600","2,900","2,900","2,900","2,400","1,900","1,900","3,600","2,400","1,900","1,900","2,900"
"roofing corporation","0","53","260","$1.45","0.16","7%","260","320","320","260","170","210","260","320","210","170","140","260"
"roofing contractors south florida","0","29","720","$15.04","0.37","-48%","590","720","590","480","390","480","1,300","1,000","390","1,600","1,000","390"
"roofing contractors in florida","0","20","1,000","$3.72","0.14","-40%","720","1,300","1,000","1,000","1,600","1,300","1,300","1,000","880","480","590","590"
"roofing contractors florida","0","27","1,000","$3.72","0.14","-40%","720","1,300","1,000","1,000","1,600","1,300","1,300","1,000","880","480","590","590"
"roofing contractor solutions","0","71","20","$0.00","0","-52%","90","40","40","10","10","10","10","10","10","10","0","10"
"roofing company fort lauderdale","0","33","880","$16.30","0.58","-34%","1,300","1,600","1,000","1,300","1,300","880","720","590","590","320","390","590"
"roofing company davie","0","69","70","$0.00","0.3","-24%","70","110","70","50","140","70","30","40","20","40","90","50"
"roofing company contractors","0","83","30","$10.63","0.44","-62%","70","50","20","20","10","10","70","20","10","10","10","10"
"roofing companies lakeland fl","0","58","720","$16.52","0.6","-33%","1,600","1,300","1,000","590","590","880","590","320","320","320","590","480"
"roofers miami fl","0","73","9,900","$1.89","0.11","6%","14,800","14,800","8,100","9,900","8,100","8,100","8,100","8,100","6,600","6,600","8,100","9,900"
"roofers fort lauderdale","0","51","880","$0.82","0.35","-20%","720","1,000","720","1,000","720","720","590","880","590","2,400","720","720"
"roof installation florida","0","98","90","$2.21","0.35","-90%","170","590","20","40","10","30","10","10","20","260","10","10"
"roof construction near me","0","88","880","$2.31","0.44","0%","1,300","1,600","1,000","1,000","590","880","720","1,000","720","390","480","880"
"roof check near me","0","73","40","$4.17","0.93","71%","20","40","20","30","50","50","40","40","50","50","30","70"
"sack roofing lady lake fl","0","74","10","$17.63","0.63","-30%","40","10","20","10","20","10","10","10","10","10","10","10"
"sack roofing florida","0","44","","","","","","","","","","","","","","","",""
"air roofing","0","76","","","","","","","","","","","","","","","",""
"amtek roofing llc","0","44","","","","","","","","","","","","","","","",""
"over the top roof repair inc","0","50","","","","","","","","","","","","","","","",""
"interstate roofing florida","0","66","","","","","","","","","","","","","","","",""
"miami roof tech","0","79","","","","","","","","","","","","","","","",""
"a-1 duran roofing inc","0","77","","","","","","","","","","","","","","","",""
"advanced roofing systems inc","0","18","","","","","","","","","","","","","","","",""
"advanced roofing supply","0","32","","","","","","","","","","","","","","","",""
"advanced roofing reviews","0","16","","","","","","","","","","","","","","","",""
"advanced roofing and interiors","0","20","","","","","","","","","","","","","","","",""
"advanced roofing and construction reviews","0","21","","","","","","","","","","","","","","","",""
"advanced roofing & siding inc","0","13","","","","","","","","","","","","","","","",""
"advanced roofing & remodeling llc","0","16","","","","","","","","","","","","","","","",""
"advanced roofing & interiors","0","43","","","","","","","","","","","","","","","",""
"advanced roofing & construction llc","0","36","","","","","","","","","","","","","","","",""
"active roofing company inc","0","84","","","","","","","","","","","","","","","",""
"aderhold roofing","0","28","","","","","","","","","","","","","","","",""
"advanced commercial roofing","0","20","","","","","","","","","","","","","","","",""
"advanced aluminum lakeland fl","0","54","","","","","","","","","","","","","","","",""
"advance roofing near me","0","2","","","","","","","","","","","","","","","",""
"hurricane roofing and construction inc","0","95","","","","","","","","","","","","","","","",""
"energy roofing lake city fl","0","59","","","","","","","","","","","","","","","",""
"f l roofing","0","46","","","","","","","","","","","","","","","",""
"fl roofing contractor","0","23","","","","","","","","","","","","","","","",""
"floridian roofing and solar","0","45","","","","","","","","","","","","","","","",""
"florida roofing inc","0","71","","","","","","","","","","","","","","","",""
"foster's roofing brooksville fl","0","85","","","","","","","","","","","","","","","",""
"fort lauderdale commercial roofing","0","35","","","","","","","","","","","","","","","",""
