"Keyword","Estimated Traffic (us)","SERP Position","Volume (Global)","CPC (Global)","Comp (Global)","Trending %","Apr 2025","May 2025","Jun 2025","Jul 2025","Aug 2025","Sep 2025","Oct 2025","Nov 2025","Dec 2025","Jan 2026","Feb 2026","Mar 2026"
"musty smell in basement","33","9","2,900","$0.55","0.88","-68%","1,300","1,900","2,400","4,400","4,400","4,400","4,400","4,400","4,400","2,400","1,300","1,000"
"new metal roofing that looks like shingles","33","1","110","$1.60","0.66","-53%","110","170","140","110","110","110","110","140","110","70","40","50"
"how to install metal roof shingles","33","1","140","$2.34","0.11","-35%","140","210","210","170","170","140","140","110","90","90","90","90"
"erie home solutions","33","1","110","$3.72","0.49","-17%","110","110","140","110","110","110","140","110","90","110","70","90"
"erie basement","33","1","90","$4.87","0.62","-23%","90","140","110","90","170","110","70","70","70","50","50","70"
"lifetime of metal roof","31","3","390","$3.22","0.49","-39%","390","480","480","480","390","390","480","720","390","260","320","260"
"free roof replacement programs","31","3","260","$5.69","0.68","-36%","210","320","390","320","320","390","390","260","140","140","110","170"
"shingles lifespan","29","3","720","$0.04","0.04","-35%","590","1,000","1,000","880","880","880","720","720","590","590","480","480"
"erie waterproofing","28","2","140","$9.59","0.98","-26%","140","140","320","170","210","170","140","90","110","70","110","110"
"architectural shingles life expectancy","27","1","90","$3.63","0.07","-44%","110","170","140","90","90","90","90","70","70","50","50","50"
"how often do roofs need to be replaced","27","6","1,600","$3.48","0.06","0%","2,400","1,900","1,900","1,600","1,600","1,600","1,300","1,300","1,300","1,000","1,600","1,600"
"how to get roof replaced for free","27","1","70","$5.04","0.56","-44%","90","110","140","90","70","110","50","50","40","30","30","40"
"roof repair grant","25","3","480","$1.41","0.32","24%","480","480","390","390","390","390","480","720","590","480","320","590"
"steel roofs that look like shingles","25","5","4,400","$1.93","0.91","-38%","5,400","5,400","5,400","5,400","5,400","5,400","5,400","4,400","4,400","3,600","2,400","2,900"
"metal roofing charlotte","25","3","","","","","","","","","","","","","","","",""
"metal roof lasts how long","25","3","","","","","","","","","","","","","","","",""
"how to install steel roofing","25","12","","","","","","","","","","","","","","","",""
"2025 roof replacement relief service","25","3","","","","","","","","","","","","","","","",""
"roof shingle colors","24","8","","","","","","","","","","","","","","","",""
"life of asphalt roof","24","4","","","","","","","","","","","","","","","",""
"basement solutions","23","7","","","","","","","","","","","","","","","",""
"tin roof patch","23","7","","","","","","","","","","","","","","","",""
"metal roofing virginia beach","23","2","","","","","","","","","","","","","","","",""
"erie roofing phone number","23","2","","","","","","","","","","","","","","","",""
"erie basement solutions","23","2","","","","","","","","","","","","","","","",""
"waterproofing basement walls","22","7","","","","","","","","","","","","","","","",""
"steel roof how to","21","4","","","","","","","","","","","","","","","",""
"erie metal roofing near me","21","1","","","","","","","","","","","","","","","",""
"erie materials","21","83","","","","","","","","","","","","","","","",""
"erie home windows","21","1","","","","","","","","","","","","","","","",""
"erie home rochester mn","21","1","","","","","","","","","","","","","","","",""
"erie home metal roofs","21","4","","","","","","","","","","","","","","","",""
"erie basement waterproofing","21","1","","","","","","","","","","","","","","","",""
"roof government grants","20","3","","","","","","","","","","","","","","","",""
"government grants for roof replacement","20","3","","","","","","","","","","","","","","","",""
"government grant for roof replacement","20","3","","","","","","","","","","","","","","","",""
"erie metal roofs reviews","20","4","","","","","","","","","","","","","","","",""
"free roof replacement grants near me","20","3","","","","","","","","","","","","","","","",""
"30-year architectural shingles cost per square","20","3","","","","","","","","","","","","","","","",""
"asphalt roof repair","19","3","","","","","","","","","","","","","","","",""
"musty odor","19","17","","","","","","","","","","","","","","","",""
"fixing a metal roof","19","16","","","","","","","","","","","","","","","",""
"brown metal roof and siding color combinations","18","2","","","","","","","","","","","","","","","",""
"architectural asphalt shingles","18","19","","","","","","","","","","","","","","","",""
"red roof house color schemes","18","2","","","","","","","","","","","","","","","",""
"new metal roof that looks like shingles","18","2","","","","","","","","","","","","","","","",""
"metal roof murfreesboro tn","18","2","","","","","","","","","","","","","","","",""
"how long do 30 year architectural shingles really last","18","2","","","","","","","","","","","","","","","",""
"erie basements","18","2","","","","","","","","","","","","","","","",""
"tin roof or shingles","17","64","","","","","","","","","","","","","","","",""
"asphalt shingles cost","17","56","","","","","","","","","","","","","","","",""
"roofing assistance program","17","3","","","","","","","","","","","","","","","",""
"metal roof cost","17","59","","","","","","","","","","","","","","","",""
"how long do shingles last on a roof","17","3","","","","","","","","","","","","","","","",""
"how long is vinyl siding","17","3","","","","","","","","","","","","","","","",""
"erie home metal roofing","17","4","","","","","","","","","","","","","","","",""
"champaign roofing","16","6","","","","","","","","","","","","","","","",""
"vinyl siding dimensions","16","6","","","","","","","","","","","","","","","",""
"water leaking into basement after heavy rain","15","10","","","","","","","","","","","","","","","",""
"average life of asphalt shingle roof","15","5","","","","","","","","","","","","","","","",""
"repaint tin roof","15","5","","","","","","","","","","","","","","","",""
"metal roofing toledo ohio","15","2","","","","","","","","","","","","","","","",""
"minimum slope for a roof","15","2","","","","","","","","","","","","","","","",""
"how long does a roof last in illinois","15","2","","","","","","","","","","","","","","","",""
"how to get a roof replaced for free","15","2","","","","","","","","","","","","","","","",""
"erie roofing systems","15","1","","","","","","","","","","","","","","","",""
"erie metal roof colors","15","1","","","","","","","","","","","","","","","",""
"erie home waltham","15","1","","","","","","","","","","","","","","","",""
"erie home syracuse","15","1","","","","","","","","","","","","","","","",""
"erie home springfield mo","15","1","","","","","","","","","","","","","","","",""
"erie home phone number","15","1","","","","","","","","","","","","","","","",""
"erie home harrisburg","15","1","","","","","","","","","","","","","","","",""
"erie home basement","15","1","","","","","","","","","","","","","","","",""
"basement flooding solutions","14","8","","","","","","","","","","","","","","","",""
"vinyl siding length","14","3","","","","","","","","","","","","","","","",""
"roofing help","14","4","","","","","","","","","","","","","","","",""
"metal roofing longevity","14","3","","","","","","","","","","","","","","","",""
"erie roofing company","14","8","","","","","","","","","","","","","","","",""
"architectural roof shingle colors","13","6","","","","","","","","","","","","","","","",""
"help with roof repairs","13","3","","","","","","","","","","","","","","","",""
"how much does a square of shingles cost","13","6","","","","","","","","","","","","","","","",""
"free roof program","13","3","","","","","","","","","","","","","","","",""
"damaged siding","13","4","","","","","","","","","","","","","","","",""
"basement waterproofing indianapolis","12","5","","","","","","","","","","","","","","","",""
"basement waterproofing cincinnati","12","7","","","","","","","","","","","","","","","",""
"best shingle color","12","7","","","","","","","","","","","","","","","",""
"cost of architectural shingles per square","12","5","","","","","","","","","","","","","","","",""
"architectural shingle roof","12","9","","","","","","","","","","","","","","","",""
"architectural asphalt shingles lifespan","12","1","","","","","","","","","","","","","","","",""
"roof shingles colors most popular","12","8","","","","","","","","","","","","","","","",""
"metal shingle roof","12","17","","","","","","","","","","","","","","","",""
"how to clean a metal roof without scrubbing","12","5","","","","","","","","","","","","","","","",""
"erie roofing shingles","12","1","","","","","","","","","","","","","","","",""
"erie metal roofing","12","1","","","","","","","","","","","","","","","",""
"erie home wichita ks","12","1","","","","","","","","","","","","","","","",""
"erie home tampa","12","1","","","","","","","","","","","","","","","",""
"erie home san antonio","12","1","","","","","","","","","","","","","","","",""
"erie home las vegas","12","1","","","","","","","","","","","","","","","",""
"erie home jacksonville reviews","12","1","","","","","","","","","","","","","","","",""
"erie home des moines","12","1","","","","","","","","","","","","","","","",""
"erie fiberglass shingles","12","1","","","","","","","","","","","","","","","",""
"what is erie home","11","2","","","","","","","","","","","","","","","",""
"roof lifetime","11","10","","","","","","","","","","","","","","","",""
"life span of metal roof","11","4","","","","","","","","","","","","","","","",""
"how long does tin roof last","11","4","","","","","","","","","","","","","","","",""
"how long do tin roofs last","11","4","","","","","","","","","","","","","","","",""
"how to combine metal roof with asphalt shingles","11","4","","","","","","","","","","","","","","","",""
"how to install metal roofing","11","21","","","","","","","","","","","","","","","",""
"how to seal a basement floor","11","4","","","","","","","","","","","","","","","",""
"erie metal roofs","11","13","","","","","","","","","","","","","","","",""
"erie home waterproofing","11","2","","","","","","","","","","","","","","","",""
"erie home toledo","11","2","","","","","","","","","","","","","","","",""
"erie home roofing cost","11","3","","","","","","","","","","","","","","","",""
"falmouth roofing","11","6","","","","","","","","","","","","","","","",""
"basement waterproofing akron ohio","10","5","","","","","","","","","","","","","","","",""
"before and after roofing","10","5","","","","","","","","","","","","","","","",""
"asphalt shingle roof repair","10","6","","","","","","","","","","","","","","","",""
"roofing companies in rochester mn","10","7","","","","","","","","","","","","","","","",""
"metal roof repair","10","16","","","","","","","","","","","","","","","",""
"can you put metal roofing over asphalt shingles","9","6","","","","","","","","","","","","","","","",""
"color schemes for house with red roof","9","4","","","","","","","","","","","","","","","",""
"cost of dimensional shingles","9","4","","","","","","","","","","","","","","","",""
"cost of roof shingles","9","5","","","","","","","","","","","","","","","",""
"what color metal roof lasts the longest","9","1","","","","","","","","","","","","","","","",""
"architectural shingle colors","9","4","","","","","","","","","","","","","","","",""
"repair missing shingles","9","4","","","","","","","","","","","","","","","",""
"roofing programs for low income","9","3","","","","","","","","","","","","","","","",""
"roofing grants for homeowners","9","3","","","","","","","","","","","","","","","",""
"roofing companies north little rock","9","3","","","","","","","","","","","","","","","",""
"roof repair missing shingles","9","4","","","","","","","","","","","","","","","",""
"roof recovery program","9","4","","","","","","","","","","","","","","","",""
"roof programs for low income","9","3","","","","","","","","","","","","","","","",""
"providence roofers","9","4","","","","","","","","","","","","","","","",""
"lansing roofers","9","6","","","","","","","","","","","","","","","",""
"metal shingles that look like asphalt shingles","9","1","","","","","","","","","","","","","","","",""
"metal roofing in harrisburg pa","9","1","","","","","","","","","","","","","","","",""
"metal roofing in albuquerque","9","6","","","","","","","","","","","","","","","",""
"metal roof or shingles","9","37","","","","","","","","","","","","","","","",""
"metal roof longevity","9","4","","","","","","","","","","","","","","","",""
"how long does architectural roof last","9","1","","","","","","","","","","","","","","","",""
"how much does an erie metal roof cost","9","1","","","","","","","","","","","","","","","",""
"how to clean metal roof from the ground","9","3","","","","","","","","","","","","","","","",""
"how to install metal roofing panels","9","4","","","","","","","","","","","","","","","",""
"dimensional shingles cost","9","4","","","","","","","","","","","","","","","",""
"do metal roofs last longer","9","6","","","","","","","","","","","","","","","",""
"erie roofing complaints","9","4","","","","","","","","","","","","","","","",""
"erie metal roofs near me","9","1","","","","","","","","","","","","","","","",""
"erie home rochester reviews","9","2","","","","","","","","","","","","","","","",""
"erie home indianapolis","9","1","","","","","","","","","","","","","","","",""
"erie home grand rapids","9","1","","","","","","","","","","","","","","","",""
"erie home bettendorf","9","1","","","","","","","","","","","","","","","",""
"erie home appleton","9","1","","","","","","","","","","","","","","","",""
"erie foundation repair","9","1","","","","","","","","","","","","","","","",""
"exterior paint colors for house with red roof","9","3","","","","","","","","","","","","","","","",""
"fixing missing shingles","9","4","","","","","","","","","","","","","","","",""
"30 year roofing","9","4","","","","","","","","","","","","","","","",""
"basement waterproofing sealer","8","28","","","","","","","","","","","","","","","",""
"tigard roofing companies","8","7","","","","","","","","","","","","","","","",""
"waterproofing concrete floor basement","8","2","","","","","","","","","","","","","","","",""
"waterproof basement cement floor","8","2","","","","","","","","","","","","","","","",""
"what color shingles are best","8","5","","","","","","","","","","","","","","","",""
"painted tin roof","8","6","","","","","","","","","","","","","","","",""
"patching asphalt shingle roof","8","2","","","","","","","","","","","","","","","",""
"pressure washing metal roofs","8","5","","","","","","","","","","","","","","","",""
"purpose of basements","8","2","","","","","","","","","","","","","","","",""
"install steel roof","8","10","","","","","","","","","","","","","","","",""
"lifespan of metal roof","8","5","","","","","","","","","","","","","","","",""
"metal roofing lansing","8","2","","","","","","","","","","","","","","","",""
"how much do shingles cost","8","7","","","","","","","","","","","","","","","",""
"erie roofing system","8","2","","","","","","","","","","","","","","","",""
"erie roofing","8","95","","","","","","","","","","","","","","","",""
"erie roofing","8","43","","","","","","","","","","","","","","","",""
"erie roofing","8","21","","","","","","","","","","","","","","","",""
"erie home fort wayne","8","2","","","","","","","","","","","","","","","",""
"erie home customer service","8","2","","","","","","","","","","","","","","","",""
"erie construction midwest inc","8","1","","","","","","","","","","","","","","","",""
"exterior house with red roof","8","5","","","","","","","","","","","","","","","",""
"25 year shingles","8","7","","","","","","","","","","","","","","","",""
"bossier city roofing companies","7","5","","","","","","","","","","","","","","","",""
"can you install a metal roof over asphalt shingles","7","7","","","","","","","","","","","","","","","",""
"cost of tin roof","7","66","","","","","","","","","","","","","","","",""
"cost of tin roof","7","66","","","","","","","","","","","","","","","",""
"tin roof vs steel roof","7","4","","","","","","","","","","","","","","","",""
"troy ny roofers","7","5","","","","","","","","","","","","","","","",""
"waterproof concrete floor","7","6","","","","","","","","","","","","","","","",""
"when does a roof need to be replaced","7","7","","","","","","","","","","","","","","","",""
"roofing providence","7","5","","","","","","","","","","","","","","","",""
"roofing company troy mi","7","5","","","","","","","","","","","","","","","",""
"roof shingles colors most popular","7","10","","","","","","","","","","","","","","","",""
"roof replacement relief program","7","3","","","","","","","","","","","","","","","",""
"roof replacement montgomery","7","5","","","","","","","","","","","","","","","",""
"is erie home roofing legit","7","6","","","","","","","","","","","","","","","",""
"life expectancy of 3-tab shingles","7","3","","","","","","","","","","","","","","","",""
"metal shingle roof panels","7","5","","","","","","","","","","","","","","","",""
"metal roofing baton rouge","7","3","","","","","","","","","","","","","","","",""
"metal roof last how long","7","6","","","","","","","","","","","","","","","",""
"metal roof designs","7","10","","","","","","","","","","","","","","","",""
"metal roof choices","7","11","","","","","","","","","","","","","","","",""
"get rid of musty smell in basement","7","12","","","","","","","","","","","","","","","",""
"how long does a 30-year roof really last","7","4","","","","","","","","","","","","","","","",""
"how long does steel roofing last","7","4","","","","","","","","","","","","","","","",""
"how long do shingle roofs last in florida","7","7","","","","","","","","","","","","","","","",""
"how long is a roof good for","7","15","","","","","","","","","","","","","","","",""
"how long roof last","7","11","","","","","","","","","","","","","","","",""
"how many years do roof shingles last","7","3","","","","","","","","","","","","","","","",""
"how much is an erie metal roof","7","9","","","","","","","","","","","","","","","",""
"how to insulate a metal roof","7","5","","","","","","","","","","","","","","","",""
"how to repair missing roof shingles","7","3","","","","","","","","","","","","","","","",""
"dimensional shingle price","7","5","","","","","","","","","","","","","","","",""
"diy metal shingles","7","3","","","","","","","","","","","","","","","",""
"diy metal roof shingles","7","3","","","","","","","","","","","","","","","",""
"ernie home","7","6","","","","","","","","","","","","","","","",""
"25 vs 30 year shingles","7","4","","","","","","","","","","","","","","","",""
"3 tab shingles life expectancy","7","3","","","","","","","","","","","","","","","",""
"30-year vs 50-year shingle cost","7","6","","","","","","","","","","","","","","","",""
"3-tab shingles life expectancy","7","3","","","","","","","","","","","","","","","",""
"can lightning go through a roof","6","4","","","","","","","","","","","","","","","",""
"cost of 30 year roof shingles","6","6","","","","","","","","","","","","","","","",""
"what are basements for","6","4","","","","","","","","","","","","","","","",""
"what is an asphalt roof","6","8","","","","","","","","","","","","","","","",""
"asphalt shingle life","6","4","","","","","","","","","","","","","","","",""
"average life of a metal roof","6","2","","","","","","","","","","","","","","","",""
"repairing asphalt shingles","6","4","","","","","","","","","","","","","","","",""
"red metal roof house","6","2","","","","","","","","","","","","","","","",""
"roofing pasadena tx","6","4","","","","","","","","","","","","","","","",""
"roofers kennesaw ga","6","4","","","","","","","","","","","","","","","",""
"roof shingles patch","6","4","","","","","","","","","","","","","","","",""
"roof repair renton","6","6","","","","","","","","","","","","","","","",""
"shingle colors","6","15","","","","","","","","","","","","","","","",""
"siding width","6","2","","","","","","","","","","","","","","","",""
"metal shingle roof","6","33","","","","","","","","","","","","","","","",""
"metal roof over existing shingles","6","6","","","","","","","","","","","","","","","",""
"metal roof material cost","6","72","","","","","","","","","","","","","","","",""
"how long are metal roofs good for","6","4","","","","","","","","","","","","","","","",""
"how long are architectural shingles good for","6","2","","","","","","","","","","","","","","","",""
"how long does an architectural roof last","6","2","","","","","","","","","","","","","","","",""
"how much does steel roofing cost","6","86","","","","","","","","","","","","","","","",""
"how often do you have to replace roof","6","6","","","","","","","","","","","","","","","",""
"how to repair missing shingles","6","4","","","","","","","","","","","","","","","",""
"how to metal roofing","6","8","","","","","","","","","","","","","","","",""
"erie home metal roofs","6","8","","","","","","","","","","","","","","","",""
"erie home basement waterproofing","6","2","","","","","","","","","","","","","","","",""
"erie construction toledo ohio","6","1","","","","","","","","","","","","","","","",""
"free roof repair","6","4","","","","","","","","","","","","","","","",""
"free metal roof program","6","2","","","","","","","","","","","","","","","",""
"30-year asphalt shingles","6","4","","","","","","","","","","","","","","","",""
"basement waterproofing toledo","5","6","","","","","","","","","","","","","","","",""
"columbia mo roofing","5","8","","","","","","","","","","","","","","","",""
"cost of asphalt shingles per square","5","9","","","","","","","","","","","","","","","",""
"cracked roof shingles","5","7","","","","","","","","","","","","","","","",""
"cracked roof shingles","5","7","","","","","","","","","","","","","","","",""
"types of metal roofs","5","66","","","","","","","","","","","","","","","",""
"vinyl siding depth","5","2","","","","","","","","","","","","","","","",""
"waterproofing a finished basement","5","4","","","","","","","","","","","","","","","",""
"what is the lifespan of a metal roof","5","3","","","","","","","","","","","","","","","",""
"what is the life of a metal roof","5","2","","","","","","","","","","","","","","","",""
"are metal roofs good in florida","5","5","","","","","","","","","","","","","","","",""
"atlanta metal roofing","5","7","","","","","","","","","","","","","","","",""
"red metal roof white house","5","3","","","","","","","","","","","","","","","",""
"roofing madison heights mi","5","2","","","","","","","","","","","","","","","",""
"roofing company beavercreek","5","4","","","","","","","","","","","","","","","",""
"roofing companies quad cities","5","4","","","","","","","","","","","","","","","",""
"roofing companies in olathe","5","7","","","","","","","","","","","","","","","",""
"roofing beltsville md","5","2","","","","","","","","","","","","","","","",""
"roofers in troy mi","5","4","","","","","","","","","","","","","","","",""
"roof slope angles","5","33","","","","","","","","","","","","","","","",""
"roof replacement relief","5","2","","","","","","","","","","","","","","","",""
"roof replacement grants for seniors","5","4","","","","","","","","","","","","","","","",""
"shingles or metal roof","5","28","","","","","","","","","","","","","","","",""
"shingle roof cost","5","9","","","","","","","","","","","","","","","",""
"standard siding dimensions","5","2","","","","","","","","","","","","","","","",""
"steel roof installation instructions","5","7","","","","","","","","","","","","","","","",""
"nampa roofing companies","5","5","","","","","","","","","","","","","","","",""
"purpose of basement","5","3","","","","","","","","","","","","","","","",""
"jersey city roof repair","5","7","","","","","","","","","","","","","","","",""
"metal shingle roof lifespan","5","2","","","","","","","","","","","","","","","",""
"metal shingle roof cost","5","81","","","","","","","","","","","","","","","",""
"metal shingle roof cost","5","29","","","","","","","","","","","","","","","",""
"metal roofing wichita ks","5","4","","","","","","","","","","","","","","","",""
"metal roofing that looks like shingles prices","5","6","","","","","","","","","","","","","","","",""
"metal roofing dayton ohio","5","6","","","","","","","","","","","","","","","",""
"metal roof syracuse","5","4","","","","","","","","","","","","","","","",""
"metal roof installation mistakes","5","8","","","","","","","","","","","","","","","",""
"metal roof hole patch","5","5","","","","","","","","","","","","","","","",""
"metal roof des moines","5","4","","","","","","","","","","","","","","","",""
"metal roof and lightning","5","8","","","","","","","","","","","","","","","",""
"modern red roof house color schemes","5","5","","","","","","","","","","","","","","","",""
"government grants for roof repair","5","3","","","","","","","","","","","","","","","",""
"government grant roof repair","5","3","","","","","","","","","","","","","","","",""
"how can i get help to fix my roof","5","2","","","","","","","","","","","","","","","",""
"how long do shingles last on a house","5","4","","","","","","","","","","","","","","","",""
"how long is a shingle roof good for","5","6","","","","","","","","","","","","","","","",""
"how long are shingles good for","5","3","","","","","","","","","","","","","","","",""
"how much does a new shingle roof cost","5","7","","","","","","","","","","","","","","","",""
"how many years does a metal roof last","5","2","","","","","","","","","","","","","","","",""
"how long do 30-year shingles last","5","3","","","","","","","","","","","","","","","",""
"how long does a metal roof last","5","80","","","","","","","","","","","","","","","",""
"how to get a free roof for your house","5","2","","","","","","","","","","","","","","","",""
"how to seal a basement leak","5","4","","","","","","","","","","","","","","","",""
"how to repair shingle damage","5","3","","","","","","","","","","","","","","","",""
"how to repair damaged shingles","5","3","","","","","","","","","","","","","","","",""
"diy metal roof","5","15","","","","","","","","","","","","","","","",""
"erie roofing phone number","5","6","","","","","","","","","","","","","","","",""
"erie roofing near me","5","2","","","","","","","","","","","","","","","",""
"erie roofing company","5","12","","","","","","","","","","","","","","","",""
"erie home waterproofing","5","4","","","","","","","","","","","","","","","",""
"erie home roofing cost","5","5","","","","","","","","","","","","","","","",""
"erie home ohio","5","2","","","","","","","","","","","","","","","",""
"erie home dallas","5","2","","","","","","","","","","","","","","","",""
"erie home corporate office","5","3","","","","","","","","","","","","","","","",""
"exterior house colors red roof","5","4","","","","","","","","","","","","","","","",""
"exterior house color with red roof","5","4","","","","","","","","","","","","","","","",""
"25 year vs 30 year shingles","5","5","","","","","","","","","","","","","","","",""
"30-year shingle price","5","6","","","","","","","","","","","","","","","",""
"before and after roofing pictures","4","6","","","","","","","","","","","","","","","",""
"benefits of a metal roof","4","9","","","","","","","","","","","","","","","",""
"will a metal roof fade","4","3","","","","","","","","","","","","","","","",""
"best way to waterproof basement","4","6","","","","","","","","","","","","","","","",""
"can you install metal roof over shingles","4","83","","","","","","","","","","","","","","","",""
"can solar panels be installed on a metal roof","4","7","","","","","","","","","","","","","","","",""
"buying a roof","4","10","","","","","","","","","","","","","","","",""
"composition shingle roof lifespan","4","7","","","","","","","","","","","","","","","",""
"common roof pitch","4","21","","","","","","","","","","","","","","","",""
"thickness of siding","4","7","","","","","","","","","","","","","","","",""
"tin roof pros and cons","4","9","","","","","","","","","","","","","","","",""
"types of metal roofs residential","4","10","","","","","","","","","","","","","","","",""
"what is an architectural roof","4","6","","","","","","","","","","","","","","","",""
"architectural shingles vs asphalt cost","4","6","","","","","","","","","","","","","","","",""
"roofing help for low income","4","3","","","","","","","","","","","","","","","",""
"roofing companies nampa","4","6","","","","","","","","","","","","","","","",""
"roofing companies in olathe kansas","4","8","","","","","","","","","","","","","","","",""
"roof slope","4","40","","","","","","","","","","","","","","","",""
"roof slope","4","38","","","","","","","","","","","","","","","",""
"roof shingles color options","4","7","","","","","","","","","","","","","","","",""
"roof shingles 30-year warranty","4","7","","","","","","","","","","","","","","","",""
"roof shingle repair","4","8","","","","","","","","","","","","","","","",""
"roof help for low income","4","3","","","","","","","","","","","","","","","",""
"roof before and after","4","8","","","","","","","","","","","","","","","",""
"solar panels on metal roof","4","7","","","","","","","","","","","","","","","",""
"steel roof options","4","17","","","","","","","","","","","","","","","",""
"step by step metal roof installation","4","8","","","","","","","","","","","","","","","",""
"nationwide roof repair and replacement program","4","3","","","","","","","","","","","","","","","",""
"need a new roof but can't afford it","4","6","","","","","","","","","","","","","","","",""
"lifetime shingles","4","12","","","","","","","","","","","","","","","",""
